X,Y,seqe_id,account_holder_name,installation_name,parent_company,zip_code,country,main_activity_type_code,main_activity_type_code_lookup,year,emissions,kind
7.011395291,48.279413683,509,SVD 17,DALKIA CHAUFFERIE ZUP KELLERMAN,DALKIA FRANCE,"88100",FR,20,Combustion of fuels,2012,1819,Combustion
7.011395291,48.279413683,509,SVD 17,DALKIA CHAUFFERIE ZUP KELLERMAN,DALKIA FRANCE,"88100",FR,20,Combustion of fuels,2013,1907,Combustion
7.011395291,48.279413683,509,SVD 17,DALKIA CHAUFFERIE ZUP KELLERMAN,DALKIA FRANCE,"88100",FR,20,Combustion of fuels,2014,0,Combustion
7.02064601,48.468981824,508,PAPETERIE DES CHATELLES SAS,PAPETERIE DES CHATELLES,SARL CHATELLES,"88110",FR,35,Production of pulp,2005,19023,Papier
7.02064601,48.468981824,508,PAPETERIE DES CHATELLES SAS,PAPETERIE DES CHATELLES,SARL CHATELLES,"88110",FR,35,Production of pulp,2006,14675,Papier
7.02064601,48.468981824,508,PAPETERIE DES CHATELLES SAS,PAPETERIE DES CHATELLES,SARL CHATELLES,"88110",FR,35,Production of pulp,2007,13307,Papier
7.02064601,48.468981824,508,PAPETERIE DES CHATELLES SAS,PAPETERIE DES CHATELLES,SARL CHATELLES,"88110",FR,35,Production of pulp,2008,12916,Papier
7.02064601,48.468981824,508,PAPETERIE DES CHATELLES SAS,PAPETERIE DES CHATELLES,SARL CHATELLES,"88110",FR,35,Production of pulp,2009,14627,Papier
7.02064601,48.468981824,508,PAPETERIE DES CHATELLES SAS,PAPETERIE DES CHATELLES,SARL CHATELLES,"88110",FR,35,Production of pulp,2010,15972,Papier
7.02064601,48.468981824,508,PAPETERIE DES CHATELLES SAS,PAPETERIE DES CHATELLES,SARL CHATELLES,"88110",FR,35,Production of pulp,2011,13851,Papier
7.02064601,48.468981824,508,PAPETERIE DES CHATELLES SAS,PAPETERIE DES CHATELLES,SARL CHATELLES,"88110",FR,35,Production of pulp,2012,11339,Papier
7.02064601,48.468981824,508,PAPETERIE DES CHATELLES SAS,PAPETERIE DES CHATELLES,SARL CHATELLES,"88110",FR,35,Production of pulp,2013,9972,Papier
7.02064601,48.468981824,508,PAPETERIE DES CHATELLES SAS,PAPETERIE DES CHATELLES,SARL CHATELLES,"88110",FR,35,Production of pulp,2014,10287,Papier
7.02064601,48.468981824,508,PAPETERIE DES CHATELLES SAS,PAPETERIE DES CHATELLES,SARL CHATELLES,"88110",FR,35,Production of pulp,2015,2571,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2005,20956,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2006,17386,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2007,17168,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2008,17214,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2009,14599,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2010,16147,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2011,15538,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2012,15788,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2013,15494,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2014,12896,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2015,11821,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2016,13160,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2017,11987,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2018,4131,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2019,5952,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2020,3758,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2021,6460,Papier
7.02064601,48.468981824,507,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,RAON CIRCULAR REGENERATION,"88110",FR,35,Production of pulp,2022,5167,Papier
6.724206039,48.289659369,506,PAPETERIES MATUSSIERE ET FOREST,MATUSSIERE ET FOREST RAMBERVILLERS,PAPETERIES MATUSSIERE ET FOREST,"88700",FR,9,Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board,2005,0,Papier
6.724206039,48.289659369,506,PAPETERIES MATUSSIERE ET FOREST,MATUSSIERE ET FOREST RAMBERVILLERS,PAPETERIES MATUSSIERE ET FOREST,"88700",FR,9,Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board,2006,0,Papier
6.724206039,48.289659369,506,PAPETERIES MATUSSIERE ET FOREST,MATUSSIERE ET FOREST RAMBERVILLERS,PAPETERIES MATUSSIERE ET FOREST,"88700",FR,9,Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board,2007,0,Papier
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2005,117,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2006,1879,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2007,1103,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2008,153,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2009,89,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2010,102,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2011,102,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2012,91,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2013,1071,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2014,641,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2015,1049,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2016,1862,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2017,4139,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2018,12848,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2019,5622,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2020,5913,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2021,5725,Combustion
6.724206039,48.289659369,505,EGGER PANNEAUX ET DECORS,EGGER PANNEAUX ET DECORS - RAMBERVILLERS,EGGER PANNEAUX ET DECORS,"88700",FR,20,Combustion of fuels,2022,6249,Combustion
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2005,22019,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2006,22244,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2007,24546,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2008,24377,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2009,18907,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2010,22515,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2011,23859,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2012,23843,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2013,21823,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2014,21300,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2015,20427,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2016,19182,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2017,21677,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2018,21516,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2019,22434,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2020,22018,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2021,21770,Papier
6.803307769,48.241817452,504,LUCART SAS,LUCART,LUCART,"88600",FR,35,Production of pulp,2022,21442,Papier
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2005,91955,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2006,90985,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2007,91799,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2008,99459,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2009,87123,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2010,89781,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2011,85945,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2012,87122,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2013,86908,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2014,89051,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2015,86763,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2016,89986,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2017,85778,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2018,87191,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2019,85589,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2020,77040,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2021,88010,Verre et céramique
2.880849067,49.479682753,40,SAINT GOBAIN GLASS FRANCE,SAINT GOBAIN GLASS FRANCE - CHANTEREINE,SAINT GOBAIN GLASS FRANCE,"60150",FR,31,Manufacture of glass,2022,85618,Verre et céramique
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2005,34716,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2006,40833,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2007,27680,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2008,23414,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2009,13993,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2010,14475,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2011,13679,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2012,12179,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2013,31408,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2014,31451,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2015,24824,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2016,33404,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2017,37276,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2018,37532,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2019,27939,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2020,27347,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2021,27677,Papier
6.425046498,48.200353998,503,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,NORSKE SKOG GOLBEY,"88194",FR,35,Production of pulp,2022,24464,Papier
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2005,121651,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2006,122325,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2007,120621,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2008,117533,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2009,83173,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2010,61366,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2011,61520,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2012,62306,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2013,60273,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2014,61143,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2015,61972,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2016,61012,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2017,60790,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2018,65613,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2019,64490,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2020,73179,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2021,95230,Verre et céramique
5.826499784,48.309334425,502,OI FRANCE SAS,OI FRANCE SAS - GIRONCOURT,,"88170",FR,31,Manufacture of glass,2022,94434,Verre et céramique
6.843447856,48.364406873,501,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,"88480",FR,36,Production of paper or cardboard,2005,76186,Papier
6.843447856,48.364406873,501,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,"88480",FR,36,Production of paper or cardboard,2006,79305,Papier
6.843447856,48.364406873,501,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,"88480",FR,36,Production of paper or cardboard,2007,79991,Papier
6.843447856,48.364406873,501,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,"88480",FR,36,Production of paper or cardboard,2008,72119,Papier
6.843447856,48.364406873,501,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,"88480",FR,36,Production of paper or cardboard,2009,65248,Papier
6.843447856,48.364406873,501,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,"88480",FR,36,Production of paper or cardboard,2010,70303,Papier
6.843447856,48.364406873,501,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,"88480",FR,36,Production of paper or cardboard,2011,66355,Papier
6.843447856,48.364406873,501,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,"88480",FR,36,Production of paper or cardboard,2012,60965,Papier
6.843447856,48.364406873,501,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,"88480",FR,36,Production of paper or cardboard,2013,75357,Papier
6.843447856,48.364406873,501,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,"88480",FR,36,Production of paper or cardboard,2014,76681,Papier
6.843447856,48.364406873,501,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,PAPETERIES DE CLAIREFONTAINE,"88480",FR,36,Production of paper or cardboard,2015,81670,Papier
